indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
ERN,Y15-19,B-F,T,TOTAL,PPS,2018	: 	6.91 	10.54 	: 	23.21 	9.19 	21.26 	14.14 	: 	: 	10.76 	8.43 	8.52 	: 	9.39 	: 	18.76 	: 	11.34 	: 	: 	11.89 	9.31 	: 	: 	17.98 	: 	24.37 	23.84 	: 	: 
ERN,Y15-19,B-N,F,GE10,EUR,2018	21.22 	3.8 	6.93 	33.13 	20.04 	6.84 	23.54 	11.74 	18.53 	14.64 	12.14 	6.88 	5.5 	25.66 	5.68 	11.87 	17.72 	18.27 	6.64 	7.53 	5.05 	10.04 	6.61 	20.28 	21.56 	18.97 	28.56 	30.88 	33.34 	2.55 	4.26 
ERN,Y15-19,B-N,F,GE10,NAC,2018	21.22 	7.43 	177.66 	246.9 	20.04 	6.84 	23.54 	11.74 	18.53 	14.64 	12.14 	6.88 	5.5 	25.66 	1811.61 	11.87 	17.72 	18.27 	28.31 	7.53 	23.5 	10.04 	6.61 	20.28 	221.2 	16.78 	3652.74 	296.37 	38.51 	324.75 	503.96 
ERN,Y15-19,B-N,F,GE10,PPS,2018	18.48 	7.31 	9.44 	23.4 	18.76 	8.25 	17.74 	12.27 	16.31 	14.15 	13.5 	8.99 	8.1 	19.82 	8.81 	13.94 	15.34 	16.31 	11.16 	8.45 	9.33 	11.52 	8.3 	16.1 	17.45 	15.79 	17.59 	20.45 	21.37 	4.71 	7.66 
ERN,Y15-19,B-N,F,TOTAL,EUR,2018	: 	3.54 	6.65 	: 	19.16 	6.51 	23.34 	11.47 	: 	: 	10.89 	6.63 	5.23 	: 	5.53 	: 	17.6 	: 	6.58 	: 	: 	9.74 	6.55 	: 	: 	18.55 	: 	30.65 	33.07 	: 	: 
ERN,Y15-19,B-N,F,TOTAL,NAC,2018	: 	6.92 	170.49 	: 	19.16 	6.51 	23.34 	11.47 	: 	: 	10.89 	6.63 	5.23 	: 	1763.09 	: 	17.6 	: 	28.03 	: 	: 	9.74 	6.55 	: 	: 	16.41 	: 	294.14 	38.2 	: 	: 
ERN,Y15-19,B-N,F,TOTAL,PPS,2018	: 	6.81 	9.05 	: 	17.94 	7.85 	17.59 	11.98 	: 	: 	12.11 	8.66 	7.7 	: 	8.58 	: 	15.24 	: 	11.05 	: 	: 	11.17 	8.21 	: 	: 	15.44 	: 	20.29 	21.2 	: 	: 
ERN,Y15-19,B-N,M,GE10,EUR,2018	24.22 	4.43 	9.25 	39.02 	27.26 	9.51 	31.42 	14.43 	21.86 	17.63 	15.09 	8.71 	6.87 	29.31 	6.77 	14.91 	23.69 	23.86 	7.63 	9.38 	5.98 	12.1 	8.65 	24.44 	24.15 	24.82 	36.92 	37.75 	44.48 	2.85 	4.2 
ERN,Y15-19,B-N,M,GE10,NAC,2018	24.22 	8.65 	237.33 	290.86 	27.26 	9.51 	31.42 	14.43 	21.86 	17.63 	15.09 	8.71 	6.87 	29.31 	2158 	14.91 	23.69 	23.86 	32.5 	9.38 	27.84 	12.1 	8.65 	24.44 	247.76 	21.96 	4721.66 	362.34 	51.38 	362.98 	496.57 
ERN,Y15-19,B-N,M,GE10,PPS,2018	21.1 	8.51 	12.6 	27.57 	25.52 	11.47 	23.68 	15.07 	19.24 	17.03 	16.79 	11.39 	10.11 	22.64 	10.5 	17.51 	20.51 	21.31 	12.81 	10.53 	11.06 	13.88 	10.86 	19.4 	19.54 	20.67 	22.74 	25 	28.52 	5.26 	7.54 
ERN,Y15-19,B-N,M,TOTAL,EUR,2018	: 	4.23 	8.67 	: 	26.69 	8.75 	29.53 	13.86 	: 	: 	12.7 	7.9 	6.5 	: 	6.54 	: 	24.14 	: 	7.58 	: 	: 	11.74 	8.41 	: 	: 	24.21 	: 	37.28 	44.25 	: 	: 
ERN,Y15-19,B-N,M,TOTAL,NAC,2018	: 	8.27 	222.45 	: 	26.69 	8.75 	29.53 	13.86 	: 	: 	12.7 	7.9 	6.5 	: 	2086.72 	: 	24.14 	: 	32.31 	: 	: 	11.74 	8.41 	: 	: 	21.42 	: 	357.76 	51.11 	: 	: 
ERN,Y15-19,B-N,M,TOTAL,PPS,2018	: 	8.13 	11.81 	: 	24.99 	10.54 	22.26 	14.48 	: 	: 	14.13 	10.32 	9.57 	: 	10.15 	: 	20.9 	: 	12.73 	: 	: 	13.46 	10.55 	: 	: 	20.16 	: 	24.68 	28.37 	: 	: 
ERN,Y15-19,B-N,T,GE10,EUR,2018	22.98 	4.14 	8.41 	36.88 	24.54 	8.29 	27.99 	13.25 	20.53 	16.57 	13.71 	7.88 	6.26 	28.22 	6.35 	14.2 	21.55 	21.76 	7.27 	8.54 	5.59 	11.24 	7.84 	22.84 	23.34 	22.65 	33.64 	35.65 	40.43 	2.73 	4.22 
ERN,Y15-19,B-N,T,GE10,NAC,2018	22.98 	8.1 	215.76 	274.89 	24.54 	8.29 	27.99 	13.25 	20.53 	16.57 	13.71 	7.88 	6.26 	28.22 	2024.79 	14.2 	21.55 	21.76 	30.99 	8.54 	26 	11.24 	7.84 	22.84 	239.46 	20.04 	4301.59 	342.15 	46.7 	348.83 	499.13 
ERN,Y15-19,B-N,T,GE10,PPS,2018	20.02 	7.96 	11.46 	26.06 	22.98 	10 	21.09 	13.84 	18.07 	16.01 	15.25 	10.3 	9.21 	21.79 	9.85 	16.68 	18.66 	19.43 	12.22 	9.59 	10.33 	12.9 	9.84 	18.13 	18.89 	18.86 	20.72 	23.6 	25.92 	5.05 	7.58 
ERN,Y15-19,B-N,T,TOTAL,EUR,2018	: 	3.91 	7.94 	: 	23.74 	7.71 	26.96 	12.8 	: 	: 	11.92 	7.32 	5.92 	: 	6.15 	: 	21.76 	: 	7.22 	: 	: 	10.92 	7.67 	: 	: 	22.09 	: 	35.26 	40.13 	: 	: 
ERN,Y15-19,B-N,T,TOTAL,NAC,2018	: 	7.65 	203.62 	: 	23.74 	7.71 	26.96 	12.8 	: 	: 	11.92 	7.32 	5.92 	: 	1961.49 	: 	21.76 	: 	30.76 	: 	: 	10.92 	7.67 	: 	: 	19.54 	: 	338.41 	46.35 	: 	: 
ERN,Y15-19,B-N,T,TOTAL,PPS,2018	: 	7.52 	10.81 	: 	22.23 	9.3 	20.32 	13.38 	: 	: 	13.26 	9.57 	8.72 	: 	9.54 	: 	18.84 	: 	12.12 	: 	: 	12.52 	9.62 	: 	: 	18.39 	: 	23.35 	25.73 	: 	: 
ERN,Y15-19,B-S,F,GE10,EUR,2018	: 	3.55 	7.2 	30.5 	20.74 	7.21 	26.26 	12.8 	17.56 	16.57 	14.54 	6.52 	5.73 	29.39 	5.8 	12.96 	20.26 	: 	7.36 	: 	6.28 	10.58 	6.48 	20.26 	20.29 	19.56 	27.27 	30.54 	34.68 	: 	3.7 
ERN,Y15-19,B-S,F,GE10,NAC,2018	: 	6.94 	184.57 	227.35 	20.74 	7.21 	26.26 	12.8 	17.56 	16.57 	14.54 	6.52 	5.73 	29.39 	1849.14 	12.96 	20.26 	: 	31.35 	: 	29.23 	10.58 	6.48 	20.26 	208.12 	17.3 	3488.06 	293.12 	40.05 	: 	437.1 
ERN,Y15-19,B-S,F,GE10,PPS,2018	: 	6.82 	9.8 	21.55 	19.42 	8.69 	19.79 	13.37 	15.46 	16.01 	16.17 	8.52 	8.43 	22.7 	9 	15.22 	17.54 	: 	12.35 	: 	11.61 	12.13 	8.13 	16.09 	16.41 	16.28 	16.8 	20.22 	22.23 	: 	6.64 
ERN,Y15-19,B-S,F,TOTAL,EUR,2018	: 	3.4 	6.97 	: 	19.96 	6.94 	25.72 	12.43 	: 	: 	13.12 	6.45 	5.55 	: 	5.72 	: 	19.96 	: 	7.31 	: 	: 	10.34 	6.43 	: 	: 	19.29 	: 	30.44 	34.28 	: 	: 
ERN,Y15-19,B-S,F,TOTAL,NAC,2018	: 	6.65 	178.74 	: 	19.96 	6.94 	25.72 	12.43 	: 	: 	13.12 	6.45 	5.55 	: 	1823.49 	: 	19.96 	: 	31.15 	: 	: 	10.34 	6.43 	: 	: 	17.07 	: 	292.16 	39.59 	: 	: 
ERN,Y15-19,B-S,F,TOTAL,PPS,2018	: 	6.54 	9.49 	: 	18.68 	8.37 	19.38 	12.99 	: 	: 	14.59 	8.43 	8.16 	: 	8.87 	: 	17.28 	: 	12.28 	: 	: 	11.86 	8.07 	: 	: 	16.06 	: 	20.16 	21.97 	: 	: 
ERN,Y15-19,B-S,M,GE10,EUR,2018	: 	4.29 	9.3 	37.89 	26.93 	9.37 	32.01 	15.05 	21.13 	18.33 	15.59 	8.2 	6.67 	30.58 	6.71 	15.08 	24.33 	: 	7.75 	: 	6.42 	12.25 	8.51 	24.61 	23.86 	24.92 	36.12 	37.84 	44.91 	: 	4.05 
ERN,Y15-19,B-S,M,GE10,NAC,2018	: 	8.39 	238.41 	282.37 	26.93 	9.37 	32.01 	15.05 	21.13 	18.33 	15.59 	8.2 	6.67 	30.58 	2141.16 	15.08 	24.33 	: 	33.03 	: 	29.87 	12.25 	8.51 	24.61 	244.77 	22.05 	4619.77 	363.14 	51.87 	: 	479.44 
ERN,Y15-19,B-S,M,GE10,PPS,2018	: 	8.25 	12.66 	26.76 	25.21 	11.29 	24.12 	15.72 	18.6 	17.71 	17.34 	10.71 	9.82 	23.62 	10.42 	17.71 	21.07 	: 	13.02 	: 	11.86 	14.05 	10.68 	19.54 	19.31 	20.75 	22.25 	25.05 	28.79 	: 	7.28 
ERN,Y15-19,B-S,M,TOTAL,EUR,2018	: 	4.14 	8.82 	: 	26.43 	8.76 	30.46 	14.51 	: 	: 	13.61 	7.66 	6.41 	: 	6.55 	: 	24.7 	: 	7.71 	: 	: 	11.91 	8.31 	: 	: 	24.48 	: 	37.49 	44.65 	: 	: 
ERN,Y15-19,B-S,M,TOTAL,NAC,2018	: 	8.09 	226.11 	: 	26.43 	8.76 	30.46 	14.51 	: 	: 	13.61 	7.66 	6.41 	: 	2088.49 	: 	24.7 	: 	32.86 	: 	: 	11.91 	8.31 	: 	: 	21.66 	: 	359.82 	51.57 	: 	: 
ERN,Y15-19,B-S,M,TOTAL,PPS,2018	: 	7.96 	12.01 	: 	24.74 	10.55 	22.96 	15.16 	: 	: 	15.14 	10.01 	9.43 	: 	10.16 	: 	21.38 	: 	12.95 	: 	: 	13.66 	10.43 	: 	: 	20.38 	: 	24.82 	28.63 	: 	: 
ERN,Y15-19,B-S,T,GE10,EUR,2018	: 	3.86 	8.33 	33.63 	23.94 	8.11 	28.5 	13.94 	19.35 	17.56 	15.06 	7.22 	6.13 	30.14 	6.23 	14.23 	22.21 	: 	7.55 	: 	6.34 	11.41 	7.41 	22.24 	21.95 	22.13 	30.25 	34.34 	40.31 	: 	3.86 
ERN,Y15-19,B-S,T,GE10,NAC,2018	: 	7.56 	213.68 	250.63 	23.94 	8.11 	28.5 	13.94 	19.35 	17.56 	15.06 	7.22 	6.13 	30.14 	1987.81 	14.23 	22.21 	: 	32.17 	: 	29.52 	11.41 	7.41 	22.24 	225.12 	19.58 	3868.47 	329.57 	46.56 	: 	456.08 
ERN,Y15-19,B-S,T,GE10,PPS,2018	: 	7.43 	11.35 	23.76 	22.41 	9.77 	21.48 	14.56 	17.03 	16.97 	16.75 	9.44 	9.02 	23.28 	9.67 	16.71 	19.23 	: 	12.68 	: 	11.73 	13.09 	9.3 	17.65 	17.76 	18.42 	18.63 	22.74 	25.84 	: 	6.93 
ERN,Y15-19,B-S,T,TOTAL,EUR,2018	: 	3.72 	7.97 	: 	23.23 	7.72 	27.6 	13.49 	: 	: 	13.38 	6.97 	5.91 	: 	6.12 	: 	22.26 	: 	7.51 	: 	: 	11.14 	7.31 	: 	: 	21.79 	: 	34.16 	39.95 	: 	: 
ERN,Y15-19,B-S,T,TOTAL,NAC,2018	: 	7.27 	204.42 	: 	23.23 	7.72 	27.6 	13.49 	: 	: 	13.38 	6.97 	5.91 	: 	1950.48 	: 	22.26 	: 	31.98 	: 	: 	11.14 	7.31 	: 	: 	19.28 	: 	327.89 	46.14 	: 	: 
ERN,Y15-19,B-S,T,TOTAL,PPS,2018	: 	7.14 	10.86 	: 	21.75 	9.3 	20.8 	14.09 	: 	: 	14.88 	9.12 	8.7 	: 	9.49 	: 	19.27 	: 	12.61 	: 	: 	12.78 	9.17 	: 	: 	18.14 	: 	22.62 	25.61 	: 	: 
ERN,Y15-19,B-S_X_O,F,GE10,EUR,2018	23.12 	3.56 	7.09 	30.38 	20.62 	7.06 	26.3 	12.72 	17.9 	16.59 	14.71 	6.4 	5.61 	29.03 	5.64 	13.05 	19.78 	18.74 	7.45 	8.19 	6.08 	10.51 	6.54 	19.99 	20.22 	19.6 	27.14 	30.39 	34.67 	2.78 	3.71 
ERN,Y15-19,B-S_X_O,F,GE10,NAC,2018	23.12 	6.96 	181.96 	226.42 	20.62 	7.06 	26.3 	12.72 	17.9 	16.59 	14.71 	6.4 	5.61 	29.03 	1797.7 	13.05 	19.78 	18.74 	31.75 	8.19 	28.29 	10.51 	6.54 	19.99 	207.39 	17.34 	3471.14 	291.68 	40.04 	354.46 	439.25 
ERN,Y15-19,B-S_X_O,F,GE10,PPS,2018	20.14 	6.84 	9.66 	21.46 	19.3 	8.51 	19.82 	13.29 	15.75 	16.03 	16.36 	8.37 	8.25 	22.42 	8.75 	15.32 	17.12 	16.73 	12.51 	9.2 	11.23 	12.05 	8.21 	15.87 	16.36 	16.32 	16.72 	20.12 	22.23 	5.14 	6.67 
ERN,Y15-19,B-S_X_O,F,TOTAL,EUR,2018	: 	3.39 	6.85 	: 	19.78 	6.8 	25.71 	12.32 	: 	: 	13.12 	6.34 	5.42 	: 	5.56 	: 	19.5 	: 	7.4 	: 	: 	10.24 	6.48 	: 	: 	19.31 	: 	30.29 	34.27 	: 	: 
ERN,Y15-19,B-S_X_O,F,TOTAL,NAC,2018	: 	6.62 	175.67 	: 	19.78 	6.8 	25.71 	12.32 	: 	: 	13.12 	6.34 	5.42 	: 	1771.49 	: 	19.5 	: 	31.52 	: 	: 	10.24 	6.48 	: 	: 	17.09 	: 	290.72 	39.58 	: 	: 
ERN,Y15-19,B-S_X_O,F,TOTAL,PPS,2018	: 	6.51 	9.33 	: 	18.51 	8.2 	19.38 	12.87 	: 	: 	14.59 	8.29 	7.98 	: 	8.62 	: 	16.88 	: 	12.42 	: 	: 	11.75 	8.13 	: 	: 	16.08 	: 	20.06 	21.97 	: 	: 
ERN,Y15-19,B-S_X_O,M,GE10,EUR,2018	24.33 	4.35 	9.24 	38.18 	27.38 	9.46 	32.51 	15.08 	21.65 	18.33 	16.28 	8.54 	6.72 	30.25 	6.69 	15.41 	24.16 	24.1 	7.76 	9.93 	6.31 	12.21 	8.49 	24.46 	23.87 	25.25 	36.08 	37.79 	44.91 	3.1 	4.12 
ERN,Y15-19,B-S_X_O,M,GE10,NAC,2018	24.33 	8.5 	237.05 	284.57 	27.38 	9.46 	32.51 	15.08 	21.65 	18.33 	16.28 	8.54 	6.72 	30.25 	2132.66 	15.41 	24.16 	24.1 	33.06 	9.93 	29.37 	12.21 	8.49 	24.46 	244.9 	22.34 	4613.84 	362.66 	51.87 	396.14 	486.81 
ERN,Y15-19,B-S_X_O,M,GE10,PPS,2018	21.2 	8.36 	12.59 	26.97 	25.63 	11.4 	24.5 	15.75 	19.05 	17.71 	18.11 	11.16 	9.9 	23.36 	10.38 	18.1 	20.92 	21.52 	13.03 	11.15 	11.67 	14 	10.65 	19.42 	19.32 	21.02 	22.22 	25.02 	28.79 	5.74 	7.4 
ERN,Y15-19,B-S_X_O,M,TOTAL,EUR,2018	: 	4.17 	8.71 	: 	26.81 	8.75 	30.77 	14.48 	: 	: 	13.73 	7.81 	6.41 	: 	6.5 	: 	24.6 	: 	7.72 	: 	: 	11.8 	8.28 	: 	: 	24.74 	: 	37.4 	44.65 	: 	: 
ERN,Y15-19,B-S_X_O,M,TOTAL,NAC,2018	: 	8.16 	223.4 	: 	26.81 	8.75 	30.77 	14.48 	: 	: 	13.73 	7.81 	6.41 	: 	2072.63 	: 	24.6 	: 	32.89 	: 	: 	11.8 	8.28 	: 	: 	21.89 	: 	358.96 	51.57 	: 	: 
ERN,Y15-19,B-S_X_O,M,TOTAL,PPS,2018	: 	8.02 	11.86 	: 	25.1 	10.55 	23.19 	15.13 	: 	: 	15.26 	10.21 	9.44 	: 	10.08 	: 	21.3 	: 	12.96 	: 	: 	13.54 	10.39 	: 	: 	20.6 	: 	24.76 	28.62 	: 	: 
ERN,Y15-19,B-S_X_O,T,GE10,EUR,2018	23.75 	3.91 	8.26 	33.52 	24.13 	8.04 	28.69 	13.92 	19.8 	17.56 	15.44 	7.27 	6.07 	29.8 	6.14 	14.47 	21.84 	21.82 	7.61 	8.94 	6.19 	11.32 	7.48 	22 	21.91 	22.3 	30.06 	34.14 	40.31 	2.93 	3.9 
ERN,Y15-19,B-S_X_O,T,GE10,NAC,2018	23.75 	7.64 	211.81 	249.83 	24.13 	8.04 	28.69 	13.92 	19.8 	17.56 	15.44 	7.27 	6.07 	29.8 	1958.69 	14.47 	21.84 	21.82 	32.42 	8.94 	28.8 	11.32 	7.48 	22 	224.77 	19.73 	3844.24 	327.61 	46.56 	373.83 	460.69 
ERN,Y15-19,B-S_X_O,T,GE10,PPS,2018	20.69 	7.51 	11.25 	23.68 	22.59 	9.69 	21.62 	14.54 	17.43 	16.97 	17.17 	9.5 	8.94 	23.01 	9.53 	16.99 	18.91 	19.48 	12.78 	10.04 	11.44 	12.99 	9.39 	17.46 	17.73 	18.57 	18.52 	22.6 	25.84 	5.42 	7 
ERN,Y15-19,B-S_X_O,T,TOTAL,EUR,2018	: 	3.73 	7.86 	: 	23.34 	7.62 	27.7 	13.42 	: 	: 	13.43 	6.97 	5.84 	: 	6.01 	: 	21.95 	: 	7.56 	: 	: 	11.01 	7.36 	: 	: 	21.92 	: 	33.96 	39.94 	: 	: 
ERN,Y15-19,B-S_X_O,T,TOTAL,NAC,2018	: 	7.3 	201.65 	: 	23.34 	7.62 	27.7 	13.42 	: 	: 	13.43 	6.97 	5.84 	: 	1917.87 	: 	21.95 	: 	32.21 	: 	: 	11.01 	7.36 	: 	: 	19.39 	: 	325.9 	46.14 	: 	: 
ERN,Y15-19,B-S_X_O,T,TOTAL,PPS,2018	: 	7.18 	10.71 	: 	21.85 	9.19 	20.87 	14.02 	: 	: 	14.93 	9.11 	8.59 	: 	9.33 	: 	19 	: 	12.7 	: 	: 	12.63 	9.23 	: 	: 	18.25 	: 	22.48 	25.61 	: 	: 
ERN,Y15-19,C,F,GE10,EUR,2018	22.4 	3 	6.54 	33.89 	21.09 	5.92 	24.05 	12.12 	18.05 	13.76 	8.33 	5.3 	5.05 	21.4 	5.19 	9.62 	17.05 	17.75 	5.75 	5.97 	4.18 	8.86 	6.12 	21.02 	22.07 	18.68 	25.75 	31.46 	31.37 	1.6 	4.07 
ERN,Y15-19,C,F,GE10,NAC,2018	22.4 	5.88 	167.66 	252.58 	21.09 	5.92 	24.05 	12.12 	18.05 	13.76 	8.33 	5.3 	5.05 	21.4 	1654.35 	9.62 	17.05 	17.75 	24.51 	5.97 	19.43 	8.86 	6.12 	21.02 	226.36 	16.53 	3293.74 	301.92 	36.23 	204.09 	481.73 
ERN,Y15-19,C,F,GE10,PPS,2018	19.51 	5.78 	8.9 	23.94 	19.74 	7.14 	18.12 	12.66 	15.89 	13.29 	9.27 	6.92 	7.44 	16.52 	8.05 	11.3 	14.76 	15.85 	9.66 	6.71 	7.72 	10.16 	7.68 	16.69 	17.85 	15.55 	15.86 	20.83 	20.11 	2.96 	7.32 
ERN,Y15-19,C,F,TOTAL,EUR,2018	: 	2.95 	6.46 	: 	20.51 	5.84 	23.7 	11.76 	: 	: 	8.49 	5.18 	4.99 	: 	5.17 	: 	16.95 	: 	5.72 	: 	: 	8.8 	6.06 	: 	: 	18.42 	: 	31.27 	31.19 	: 	: 
ERN,Y15-19,C,F,TOTAL,NAC,2018	: 	5.78 	165.74 	: 	20.51 	5.84 	23.7 	11.76 	: 	: 	8.49 	5.18 	4.99 	: 	1648.37 	: 	16.95 	: 	24.39 	: 	: 	8.8 	6.06 	: 	: 	16.29 	: 	300.15 	36.02 	: 	: 
ERN,Y15-19,C,F,TOTAL,PPS,2018	: 	5.68 	8.8 	: 	19.2 	7.04 	17.86 	12.28 	: 	: 	9.45 	6.78 	7.34 	: 	8.02 	: 	14.68 	: 	9.61 	: 	: 	10.09 	7.6 	: 	: 	15.33 	: 	20.71 	19.99 	: 	: 
ERN,Y15-19,C,M,GE10,EUR,2018	24.53 	3.91 	8.91 	38.03 	27.79 	9.04 	30.69 	14.35 	20.8 	16.84 	11.33 	7.07 	6.59 	24.35 	6.79 	13.15 	22.57 	22.84 	7.04 	8.04 	5.58 	11.21 	8.7 	23.38 	22.87 	21.72 	32.05 	36.06 	39.46 	2.5 	3.96 
ERN,Y15-19,C,M,GE10,NAC,2018	24.53 	7.64 	228.43 	283.42 	27.79 	9.04 	30.69 	14.35 	20.8 	16.84 	11.33 	7.07 	6.59 	24.35 	2166.15 	13.15 	22.57 	22.84 	29.99 	8.04 	25.97 	11.21 	8.7 	23.38 	234.64 	19.22 	4099.18 	346.11 	45.58 	319.45 	468.76 
ERN,Y15-19,C,M,GE10,PPS,2018	21.37 	7.51 	12.13 	26.86 	26.01 	10.89 	23.13 	14.99 	18.3 	16.27 	12.6 	9.24 	9.7 	18.81 	10.54 	15.44 	19.54 	20.4 	11.82 	9.02 	10.32 	12.86 	10.92 	18.56 	18.51 	18.09 	19.74 	23.88 	25.3 	4.63 	7.12 
ERN,Y15-19,C,M,TOTAL,EUR,2018	: 	3.78 	8.69 	: 	27.49 	8.6 	30.19 	14.1 	: 	: 	9.4 	6.87 	6.28 	: 	6.66 	: 	22.5 	: 	7.02 	: 	: 	10.98 	8.54 	: 	: 	21.46 	: 	35.84 	39.26 	: 	: 
ERN,Y15-19,C,M,TOTAL,NAC,2018	: 	7.39 	222.82 	: 	27.49 	8.6 	30.19 	14.1 	: 	: 	9.4 	6.87 	6.28 	: 	2124.52 	: 	22.5 	: 	29.92 	: 	: 	10.98 	8.54 	: 	: 	18.99 	: 	343.93 	45.35 	: 	: 
ERN,Y15-19,C,M,TOTAL,PPS,2018	: 	7.26 	11.83 	: 	25.73 	10.37 	22.75 	14.73 	: 	: 	10.46 	8.97 	9.24 	: 	10.34 	: 	19.48 	: 	11.79 	: 	: 	12.59 	10.71 	: 	: 	17.87 	: 	23.73 	25.17 	: 	: 
ERN,Y15-19,C,T,GE10,EUR,2018	23.94 	3.46 	8.09 	36.69 	26.07 	7.5 	28.26 	13.77 	19.99 	15.95 	9.72 	6.23 	5.8 	23.91 	6.22 	12.05 	21.22 	21.64 	6.64 	7.13 	4.89 	10.4 	7.79 	22.74 	22.68 	21.05 	30.57 	35.11 	37.16 	2.02 	4 
ERN,Y15-19,C,T,GE10,NAC,2018	23.94 	6.76 	207.52 	273.46 	26.07 	7.5 	28.26 	13.77 	19.99 	15.95 	9.72 	6.23 	5.8 	23.91 	1983.68 	12.05 	21.22 	21.64 	28.28 	7.13 	22.76 	10.4 	7.79 	22.74 	232.68 	18.62 	3909.56 	336.96 	42.92 	257.37 	473.23 
ERN,Y15-19,C,T,GE10,PPS,2018	20.85 	6.65 	11.02 	25.92 	24.41 	9.03 	21.3 	14.39 	17.59 	15.41 	10.81 	8.14 	8.54 	18.47 	9.65 	14.15 	18.37 	19.32 	11.15 	8 	9.04 	11.93 	9.77 	18.05 	18.35 	17.52 	18.83 	23.25 	23.82 	3.73 	7.19 
ERN,Y15-19,C,T,TOTAL,EUR,2018	: 	3.37 	7.93 	: 	25.65 	7.3 	27.79 	13.48 	: 	: 	9.05 	6.08 	5.63 	: 	6.14 	: 	21.1 	: 	6.61 	: 	: 	10.26 	7.67 	: 	: 	20.77 	: 	34.89 	36.93 	: 	: 
ERN,Y15-19,C,T,TOTAL,NAC,2018	: 	6.59 	203.29 	: 	25.65 	7.3 	27.79 	13.48 	: 	: 	9.05 	6.08 	5.63 	: 	1956.57 	: 	21.1 	: 	28.19 	: 	: 	10.26 	7.67 	: 	: 	18.38 	: 	334.83 	42.66 	: 	: 
ERN,Y15-19,C,T,TOTAL,PPS,2018	: 	6.48 	10.8 	: 	24.01 	8.8 	20.95 	14.09 	: 	: 	10.07 	7.94 	8.29 	: 	9.52 	: 	18.27 	: 	11.11 	: 	: 	11.77 	9.63 	: 	: 	17.3 	: 	23.1 	23.68 	: 	: 
ERN,Y15-19,D,F,GE10,EUR,2018	: c	5.98 	8.33 	35.18 	27.2 	8.34 	: c	22.77 	23.53 	20.28 	: c	6.17 	6.02 	: c	10.66 	: 	: c	25.75 	8.97 	: c	6.2 	15.35 	8.42 	24.05 	22.07 	24.64 	: c	36.04 	40.19 	3.62 	4.25 
ERN,Y15-19,D,F,GE10,NAC,2018	: c	11.7 	213.77 	262.19 	27.2 	8.34 	: c	22.77 	23.53 	20.28 	: c	6.17 	6.02 	: c	3399.5 	: 	: c	25.75 	38.24 	: c	28.86 	15.35 	8.42 	24.05 	226.44 	21.8 	: c	345.88 	46.42 	461.76 	502.77 
ERN,Y15-19,D,F,GE10,PPS,2018	: c	11.5 	11.35 	24.85 	25.46 	10.05 	: c	23.78 	20.71 	19.59 	: c	8.07 	8.87 	: c	16.54 	: 	: c	23 	15.07 	: c	11.46 	17.61 	10.56 	19.1 	17.86 	20.51 	: c	23.86 	25.76 	6.69 	7.64 
ERN,Y15-19,D,F,TOTAL,EUR,2018	: 	5.89 	8.03 	: 	26.95 	8.23 	: 	22.7 	: 	: 	: 	6.73 	6 	: 	10.57 	: 	: 	: 	8.97 	: 	: 	15.35 	8.42 	: 	: 	24.64 	: 	35.86 	40.18 	: 	: 
ERN,Y15-19,D,F,TOTAL,NAC,2018	: 	11.51 	205.85 	: 	26.95 	8.23 	: 	22.7 	: 	: 	: 	6.73 	6 	: 	3371.1 	: 	: 	: 	38.24 	: 	: 	15.35 	8.42 	: 	: 	21.8 	: 	344.13 	46.41 	: 	: 
ERN,Y15-19,D,F,TOTAL,PPS,2018	: 	11.32 	10.93 	: 	25.23 	9.92 	: 	23.72 	: 	: 	: 	8.79 	8.83 	: 	16.4 	: 	: 	: 	15.07 	: 	: 	17.61 	10.56 	: 	: 	20.51 	: 	23.74 	25.76 	: 	: 
ERN,Y15-19,D,M,GE10,EUR,2018	: c	5.56 	10.39 	48.46 	34.92 	9.53 	: c	25.49 	24.7 	21.05 	: c	7.29 	7.04 	: c	9.39 	: 	: c	28.55 	8.99 	: c	7.57 	14.58 	9.84 	29.93 	27.27 	29.15 	: c	41.5 	47.3 	4.28 	5.97 
ERN,Y15-19,D,M,GE10,NAC,2018	: c	10.86 	266.41 	361.22 	34.92 	9.53 	: c	25.49 	24.7 	21.05 	: c	7.29 	7.04 	: c	2992.92 	: 	: c	28.55 	38.31 	: c	35.25 	14.58 	9.84 	29.93 	279.78 	25.79 	: c	398.31 	54.64 	546.31 	706 
ERN,Y15-19,D,M,GE10,PPS,2018	: c	10.68 	14.15 	34.24 	32.69 	11.49 	: c	26.63 	21.74 	20.34 	: c	9.53 	10.36 	: c	14.56 	: 	: c	25.5 	15.1 	: c	14 	16.72 	12.35 	23.76 	22.07 	24.27 	: c	27.48 	30.33 	7.91 	10.73 
